label_name,basis,delay_days,positive_count,positive_ratio,train_samples,validation_samples,test_samples,model,family,threshold_tuned_on_val,decision_threshold,val_best_f1,precision,recall,f1_score,roc_auc,average_precision
delay_gt_15_q80,q80 조기탐지 기준,15,7926,0.1864985058471964,29749,6375,6375,DummyClassifier,baseline,False,0.5,,0.0,0.0,0.0,0.5,0.18650980392156863
delay_gt_15_q80,q80 조기탐지 기준,15,7926,0.1864985058471964,29749,6375,6375,LogisticRegression,linear,True,0.5200000000000001,0.45500848896434637,0.3410355156183141,0.6703111858704794,0.45207033465683494,0.7578432196146901,0.4089943541528842
delay_gt_15_q80,q80 조기탐지 기준,15,7926,0.1864985058471964,29749,6375,6375,MLP,neural_network,True,0.24000000000000005,0.5151231680698473,0.40117994100294985,0.6862910008410429,0.5063605336642879,0.8179289716085586,0.46629696166841483
delay_gt_15_q80,q80 조기탐지 기준,15,7926,0.1864985058471964,29749,6375,6375,LightGBM,tree_boosting,True,0.5500000000000002,0.5156964340140201,0.3958139534883721,0.7157275021026073,0.5097334531296795,0.8180791462555104,0.4649278365330882
delay_gt_15_q80,q80 조기탐지 기준,15,7926,0.1864985058471964,29749,6375,6375,XGBoost,tree_boosting,True,0.5800000000000002,0.5148331273176762,0.3990407673860911,0.6997476871320437,0.5082467929138669,0.8208686484314209,0.48066148705619355
delay_gt_15_q80,q80 조기탐지 기준,15,7926,0.1864985058471964,29749,6375,6375,CatBoost,tree_boosting,True,0.5800000000000002,0.5207286432160804,0.4035173424523693,0.6947014297729184,0.5105067985166872,0.8226182803737954,0.47947309372143976
delay_gt_24_q90,q90 고위험 기준,24,4207,0.09899056448387021,29749,6375,6375,DummyClassifier,baseline,False,0.5,,0.0,0.0,0.0,0.5,0.09898039215686275
delay_gt_24_q90,q90 고위험 기준,24,4207,0.09899056448387021,29749,6375,6375,LogisticRegression,linear,True,0.6400000000000001,0.344017094017094,0.24357976653696498,0.4960380348652932,0.3267223382045929,0.7795450582486128,0.2722721724444592
delay_gt_24_q90,q90 고위험 기준,24,4207,0.09899056448387021,29749,6375,6375,MLP,neural_network,True,0.19,0.3967654986522911,0.3037872683319903,0.5974643423137876,0.4027777777777778,0.8313543740536532,0.30450746153528613
delay_gt_24_q90,q90 고위험 기준,24,4207,0.09899056448387021,29749,6375,6375,LightGBM,tree_boosting,True,0.6200000000000001,0.3973168214654283,0.30704441041347624,0.6354992076069731,0.41404233350542075,0.8430087869544297,0.3333322359808775
delay_gt_24_q90,q90 고위험 기준,24,4207,0.09899056448387021,29749,6375,6375,XGBoost,tree_boosting,True,0.6900000000000002,0.4080267558528428,0.318531169940222,0.5911251980982567,0.413984461709212,0.8469340570081535,0.33948048829610955
delay_gt_24_q90,q90 고위험 기준,24,4207,0.09899056448387021,29749,6375,6375,CatBoost,tree_boosting,True,0.6600000000000001,0.41632231404958675,0.305019305019305,0.6259904912836767,0.4101765316718588,0.8502435118682378,0.33719117074599775
