feature,importance_mean,importance_std
active_span_days,0.18354027486176955,0.007376083470858181
recent_3_avg_gap,0.07402165109726423,0.004146995907337563
total_orders_before_target,0.044038893611804054,0.004569423070432199
std_gap_before_target,0.0270110834079071,0.0023337696407962406
max_gap_before_target,0.025125791538777642,0.001615312180603802
avg_gap_before_target,0.022097728989577636,0.0024995958297289716
recent_5_avg_gap,0.008647789205394451,0.0013887209866544938
order_frequency,0.0068666789703922485,0.0016256349424090997
gap_trend,0.006766876078670758,0.0008030197298034957
last_gap_before_target,0.004646316001838413,0.0011483199913287021
min_gap_before_target,0.003350775864501576,0.0007632808429669374
weekend_order_ratio,0.0024919098679663464,0.0007609370569513574
dow_variability,0.0016095770556492361,0.0008592505379541972
