rank_by_f1_final,rank_by_f1,model,family,threshold_tuned_on_val,decision_threshold,val_best_f1,accuracy,precision,recall,f1_score,roc_auc,average_precision,tn,fp,fn,tp,interpretation_note,experiment,input_type,best_val_average_precision,epochs_trained
1,1,HybridGRU,deep_learning_hybrid_sequence,,0.6100000000000001,0.5375118708452041,0.7576470588235295,0.4116186693147964,0.6972245584524811,0.5176397127692788,0.822019446805902,0.4736532128181298,4001,1185,360,829,LSTM보다 단순한 gate 구조로 sequence와 요약 변수를 결합하는 GRU 하이브리드 모델.,hybrid_sequence_tabular,recent order sequence + customer aggregate features,0.4764665418478533,25.0
2,1,CatBoost,tree_boosting,True,0.5800000000000002,0.5207286432160804,0.7515294117647059,0.4035173424523693,0.6947014297729184,0.5105067985166872,0.8226182803737954,0.4794730937214397,3965,1221,363,826,"범주형 변수에 강점이 있지만, 현재 데이터에서는 numeric 집계 feature 기반 baseline으로 사용.",tabular_aggregate,customer aggregate features,,
3,2,LightGBM,tree_boosting,True,0.5500000000000002,0.5156964340140201,0.7432156862745098,0.3958139534883721,0.7157275021026073,0.5097334531296795,0.8180791462555104,0.4649278365330882,3887,1299,338,851,tabular 데이터에 강한 tree boosting baseline.,tabular_aggregate,customer aggregate features,,
4,3,XGBoost,tree_boosting,True,0.5800000000000002,0.5148331273176762,0.7474509803921568,0.3990407673860911,0.6997476871320437,0.5082467929138669,0.8208686484314209,0.4806614870561935,3933,1253,357,832,널리 쓰이는 tree boosting baseline.,tabular_aggregate,customer aggregate features,,
5,4,MLP,neural_network,True,0.24,0.5151231680698473,0.7504313725490196,0.4011799410029498,0.6862910008410429,0.5063605336642879,0.8179289716085586,0.4662969616684148,3968,1218,373,816,집계 특징 기반 비선형 신경망.,tabular_aggregate,customer aggregate features,,
6,2,HybridTransformer,deep_learning_hybrid_sequence,,0.5900000000000002,0.515438703760318,0.7432156862745098,0.3943396226415094,0.703111858704794,0.505288606829858,0.8116501793500454,0.4680147929323739,3902,1284,353,836,self-attention 기반 sequence 표현과 고객 요약 변수를 결합하는 모델.,hybrid_sequence_tabular,recent order sequence + customer aggregate features,0.4676325067420591,18.0
7,3,HybridLSTM,deep_learning_hybrid_sequence,,0.5700000000000002,0.5319758192809417,0.7538823529411764,0.404040404040404,0.6728343145500421,0.5048911328494793,0.8176438668252528,0.4702569289664198,4006,1180,389,800,최근 주문 순서 패턴과 고객 요약 변수를 함께 반영하는 LSTM 하이브리드 모델.,hybrid_sequence_tabular,recent order sequence + customer aggregate features,0.4796029378750041,22.0
8,4,HybridBiGRU,deep_learning_hybrid_sequence,,0.6700000000000002,0.540712019739161,0.7783529411764706,0.4324487334137515,0.6030277544154752,0.5036880927291886,0.8232244929335206,0.4796541692708176,4245,941,472,717,target 이전 sequence 전체를 양방향으로 요약한 뒤 고객 요약 변수와 결합하는 모델.,hybrid_sequence_tabular,recent order sequence + customer aggregate features,0.4798133646835409,23.0
9,5,HybridTCN,deep_learning_hybrid_sequence,,0.6200000000000001,0.5245130960376091,0.7684705882352941,0.4195176668536175,0.6291000841042893,0.5033647375504711,0.8135586623363608,0.4648811222864868,4151,1035,441,748,시간축 convolution으로 최근 주문 간격 패턴을 잡고 고객 요약 변수와 결합하는 모델.,hybrid_sequence_tabular,recent order sequence + customer aggregate features,0.4694875530162115,20.0
10,6,HybridMLP_Flatten,deep_learning_hybrid,,0.6200000000000001,0.5157687253613666,0.7582745098039215,0.4072708113804004,0.6501261564339781,0.5008098477486232,0.8091306996224876,0.4644175898439731,4061,1125,416,773,최근 주문 sequence를 펼친 표현과 고객 요약 변수를 함께 사용하는 MLP.,hybrid_sequence_tabular,recent order sequence + customer aggregate features,0.4644916143831881,16.0
11,7,TabularDeepMLP,deep_learning_tabular,,0.6300000000000001,0.5166609412572999,0.7700392156862745,0.4205393000573723,0.616484440706476,0.5,0.814715947736628,0.4672095966222372,4176,1010,456,733,기존 고객 요약 변수만 사용하는 PyTorch MLP 기준선.,hybrid_sequence_tabular,recent order sequence + customer aggregate features,0.4667620524314823,24.0
12,1,LSTM,deep_learning_sequence,,0.5900000000000002,0.4684292379471229,0.7262745098039216,0.3626482213438735,0.6173254835996635,0.4568938686585745,0.7603925396608647,0.4178690766897948,3896,1290,455,734,최근 주문 sequence를 순서대로 읽는 recurrent model.,sequence_only,recent order sequence,0.4140243065127776,29.0
13,2,BiGRU,deep_learning_sequence,,0.5900000000000002,0.4598540145985401,0.716392156862745,0.3546265852512917,0.6349873843566022,0.4550934297769741,0.7573292849967743,0.4135416374852133,3812,1374,434,755,이미 알고 있는 target 이전 sequence 전체를 양방향으로 요약하는 GRU.,sequence_only,recent order sequence,0.4047174050259627,23.0
14,3,TransformerEncoder,deep_learning_sequence,,0.6200000000000001,0.455688043828553,0.7349019607843137,0.3683657383079348,0.5895710681244744,0.4534282018111255,0.7600234278936271,0.4263313841423839,3984,1202,488,701,Self-attention으로 최근 주문 sequence 내 위치 간 관계를 요약하는 model.,sequence_only,recent order sequence,0.4086384287330435,19.0
15,5,LogisticRegression,linear,True,0.5200000000000001,0.4550084889643463,0.6969411764705883,0.3410355156183141,0.6703111858704794,0.4520703346568349,0.7578432196146901,0.4089943541528842,3646,1540,392,797,해석 가능한 선형 baseline.,tabular_aggregate,customer aggregate features,,
16,4,TCN,deep_learning_sequence,,0.5100000000000001,0.4593190998268898,0.7016470588235294,0.3437088996054362,0.6593776282590412,0.4518731988472622,0.7542490829778173,0.4096420509849475,3689,1497,405,784,시간축 1D convolution으로 주문 간격 패턴을 잡는 sequence model.,sequence_only,recent order sequence,0.4021297538810796,21.0
17,5,GRU,deep_learning_sequence,,0.6000000000000002,0.4684860298895386,0.7341176470588235,0.3667017913593256,0.5853658536585366,0.4509232264334305,0.7581665978501347,0.4151419973594778,3984,1202,493,696,LSTM보다 단순한 gate 구조의 recurrent model.,sequence_only,recent order sequence,0.4103099476656211,37.0
